ECG
-0.1660636043
-0.1574615097
-0.1520661115
-0.1537967205
-0.1412244081
-0.1535167694
-0.1805446624
-0.1742585182
-0.170899105
-0.1760654544
-0.1688631153
-0.1628569126
-0.1414789199
-0.1259798765
-0.1150363683
-0.1110916137
-0.1449655532
-0.1557054615
-0.165045619
-0.1659872627
-0.1487830638
-0.1327750086
-0.1156980752
-0.1077067613
-0.0951853656
-0.073349266
-0.0668849658
-0.0803480148
-0.0744181585
-0.0777775669
-0.0867105102
-0.0848781204
-0.0825367259
-0.0869395732
-0.0808570098
-0.0783883619
-0.0938365173
-0.0971959209
-0.0978830718
-0.0986465549
-0.0999445056
-0.0934547805
-0.0785919713
-0.0691500282
-0.0602679538
-0.0563741016
-0.0516913223
-0.0591990661
-0.0595299291
-0.0606242704
-0.0625839233
-0.0599371194
-0.0501388597
-0.0484591722
-0.0462450075
-0.0440054225
-0.0487136554
-0.0579011154
-0.0609551048
-0.0574175739
-0.0660705566
-0.0715932273
-0.0725348567
-0.0681065607
-0.0541090679
-0.0485100746
-0.0610823631
-0.0687682628
-0.0786428737
-0.076657772
-0.0803734683
-0.0756652069
-0.0582828807
-0.0522512197
-0.0445907688
-0.0407732725
-0.0479756307
-0.0483573675
-0.0486627817
-0.0513604593
-0.0574684715
-0.0620240259
-0.055457921
-0.0538800048
-0.0659687805
-0.074545412
-0.1136366128
-0.1294410467
-0.1455763578
-0.1433622264
-0.1301282048
-0.1226713657
-0.1135093569
-0.1091319561
-0.1067651271
-0.1202790737
-0.1495211124
-0.1601337671
-0.1568507099
-0.1530586624
