Time,Predicted_ECG
100,-0.06738054824533332
101,-0.06681250565038943
102,-0.06624446305544554
103,-0.06567642046050165
104,-0.06510837786555775
105,-0.06454033527061386
106,-0.06397229267566995
107,-0.06340425008072606
108,-0.06283620748578217
109,-0.06226816489083827
110,-0.06170012229589438
111,-0.061132079700950484
112,-0.060564037106006594
113,-0.05999599451106269
114,-0.0594279519161188
115,-0.05885990932117491
116,-0.05829186672623102
117,-0.05772382413128711
118,-0.05715578153634322
119,-0.05658773894139933
120,-0.05601969634645543
121,-0.05545165375151154
122,-0.05488361115656765
123,-0.05431556856162374
124,-0.05374752596667985
125,-0.05317948337173596
126,-0.05261144077679207
127,-0.052043398181848166
128,-0.051475355586904276
129,-0.050907312991960385
130,-0.05033927039701648
131,-0.04977122780207259
132,-0.0492031852071287
133,-0.04863514261218481
134,-0.048067100017240905
135,-0.047499057422297014
136,-0.046931014827353124
137,-0.04636297223240922
138,-0.04579492963746533
139,-0.04522688704252144
140,-0.044658844447577534
141,-0.04409080185263364
142,-0.04352275925768975
143,-0.04295471666274586
144,-0.04238667406780196
145,-0.04181863147285807
146,-0.04125058887791418
147,-0.04068254628297027
148,-0.04011450368802638
149,-0.03954646109308249
150,-0.03897841849813859
151,-0.038410375903194696
152,-0.037842333308250806
153,-0.037274290713306915
154,-0.03670624811836301
155,-0.03613820552341912
156,-0.03557016292847523
157,-0.035002120333531325
158,-0.034434077738587435
159,-0.033866035143643544
